Item number,Name,Brand,Modul,Cost Value,januar,februar,marts,april,maj,juni,juli,august,september,oktober,november,december,Total
00-00068,"15"" TV Permaplay",Diverse,Stock,647.39143,7.0,7.0,7.0,7.0,7.0,7.0,7,7,7,7,7,7,7.0
50003049,ASSORTED PUTTY WAVE 3 CDU,Slimy Originals,Stock,0.80577,7968.0,7968.0,7968.0,7968.0,7968.0,7968.0,7968,7968,7968,7968,7968,7968,7968.0
09-70901,BBQ Stufz,Diverse,Stock,27.18,1704.0,1704.0,1704.0,1704.0,1704.0,1704.0,1704,1704,1704,1704,1704,1704,1704.0
50-00524,Blinger Pink,Blinger,Invoiced OT,47.34238,70.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,70.0
50-00525,BLINGER REFILL 5 PACK ASS.,Blinger,SalgsOrdre SE,23.39781,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,12.0
50-00525,BLINGER REFILL 5 PACK ASS.,Blinger,Stock,23.39781,12.0,12.0,12.0,12.0,12.0,12.0,12,12,12,12,12,12,12.0
40-00596,BLUME S1 BABY POP,Blume,Forecast DK,47.34583,300.0,300.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,600.0
40-00596,BLUME S1 BABY POP,Blume,Invoiced DK,47.34583,600.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,600.0
40-00596,BLUME S1 BABY POP,Blume,Invoiced OT,47.34583,102.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,102.0
40-00596,BLUME S1 BABY POP,Blume,SalgsOrdre SE,47.34583,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,12.0
40-00596,BLUME S1 BABY POP,Blume,Stock,47.34583,2166.0,2166.0,2166.0,2166.0,2166.0,2166.0,2166,2166,2166,2166,2166,2166,2166.0
00-10060,CHILLFACTOR COCA COLA,Chillfactor,SalgsOrdre DK,32.82391,0.0,0.0,0.0,12.0,0.0,0.0,0,0,0,0,0,0,12.0
00-10060,CHILLFACTOR COCA COLA,Chillfactor,Stock,32.82391,0.0,0.0,0.0,-12.0,-12.0,-12.0,-12,-12,-12,-12,-12,-12,-12.0
00-10060,CHILLFACTOR COCA COLA,Chillfactor,Forecast DK,32.82391,0.0,0.0,0.0,10000.0,0.0,10000.0,0,0,0,0,0,0,20000.0
00-10060,CHILLFACTOR COCA COLA,Chillfactor,Forecast SE,32.82391,0.0,0.0,0.0,0.0,1500.0,480.0,0,0,0,0,0,0,1980.0
00-10060,CHILLFACTOR COCA COLA,Chillfactor,Forecast NO,32.82391,0.0,0.0,3000.0,0.0,0.0,0.0,0,0,0,0,0,0,3000.0
00-10061,CHILLFACTOR COCA COLA,Chillfactor,Købsordre,31.21333,0.0,0.0,5004.0,10008.0,0.0,0.0,0,0,0,0,0,0,15012.0
00-10061,CHILLFACTOR COCA COLA,Chillfactor,SalgsOrdre SE,31.21333,0.0,0.0,0.0,0.0,1548.0,480.0,0,0,0,0,0,0,2028.0
00-10061,CHILLFACTOR COCA COLA,Chillfactor,SalgsOrdre NO,31.21333,0.0,0.0,2160.0,0.0,0.0,0.0,0,0,0,0,0,0,2160.0
00-10061,CHILLFACTOR COCA COLA,Chillfactor,Stock,31.21333,0.0,0.0,2844.0,12852.0,11304.0,10824.0,10824,10824,10824,10824,10824,10824,10824.0
00-10064,CHILLFACTOR COCA COLA FLAT PACKED POP UP FSDU,Chillfactor,SalgsOrdre NO,361.84286,0.0,0.0,25.0,0.0,0.0,0.0,0,0,0,0,0,0,25.0
00-10064,CHILLFACTOR COCA COLA FLAT PACKED POP UP FSDU,Chillfactor,Stock,361.84286,14.0,14.0,-11.0,-11.0,-11.0,-11.0,-11,-11,-11,-11,-11,-11,-11.0
06-30102,Chillfactor Neon Color Ass,Chillfactor,Købsordre,26.4,0.0,0.0,11508.0,5004.0,0.0,0.0,0,0,0,0,0,0,16512.0
06-30102,Chillfactor Neon Color Ass,Chillfactor,SalgsOrdre DK,26.4,0.0,0.0,0.0,12.0,0.0,0.0,0,0,0,0,0,0,12.0
06-30102,Chillfactor Neon Color Ass,Chillfactor,SalgsOrdre SE,26.4,0.0,0.0,0.0,0.0,8916.0,0.0,0,0,0,0,0,0,8916.0
06-30102,Chillfactor Neon Color Ass,Chillfactor,Stock,26.4,0.0,0.0,11508.0,16500.0,7584.0,7584.0,7584,7584,7584,7584,7584,7584,7584.0
06-30102,Chillfactor Neon Color Ass,Chillfactor,Forecast SE,26.4,0.0,0.0,0.0,7200.0,9260.0,0.0,0,0,0,0,0,0,16460.0
06-30103,Chillfactor Neon Color Ass CDU,Chillfactor,Købsordre,29.6,0.0,0.0,6000.0,0.0,0.0,0.0,0,0,0,0,0,0,6000.0
06-30103,Chillfactor Neon Color Ass CDU,Chillfactor,SalgsOrdre NO,29.6,0.0,0.0,3600.0,0.0,0.0,0.0,0,0,0,0,0,0,3600.0
06-30103,Chillfactor Neon Color Ass CDU,Chillfactor,SalgsOrdre FI,29.6,0.0,0.0,3000.0,0.0,0.0,0.0,0,0,0,0,0,0,3000.0
06-30103,Chillfactor Neon Color Ass CDU,Chillfactor,Stock,29.6,0.0,0.0,-600.0,-600.0,-600.0,-600.0,-600,-600,-600,-600,-600,-600,-600.0
06-30103,Chillfactor Neon Color Ass CDU,Chillfactor,Forecast NO,29.6,0.0,0.0,3600.0,0.0,0.0,0.0,0,0,0,0,0,0,3600.0
06-30103,Chillfactor Neon Color Ass CDU,Chillfactor,Forecast FI,29.6,0.0,0.0,3000.0,0.0,0.0,0.0,0,0,0,0,0,0,3000.0
06-30110,Chillfactor Neon Color Ass FSDU FLAT PACKED,Chillfactor,Købsordre,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0,0,0,0,0,0,100.0
06-30110,Chillfactor Neon Color Ass FSDU FLAT PACKED,Chillfactor,Stock,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100,100,100,100,100,100,100.0
20-00248,Cocomelon - empty display,Cocomelon,Stock,260.82681,47.0,47.0,47.0,47.0,47.0,47.0,47,47,47,47,47,47,47.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,Købsordre,54.173,0.0,0.0,1002.0,0.0,0.0,0.0,0,0,0,0,0,0,1002.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,Invoiced OT,54.173,102.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,102.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,SalgsOrdre DK,54.173,0.0,0.0,0.0,0.0,0.0,0.0,12,12,0,0,0,0,24.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,SalgsOrdre SE,54.173,0.0,0.0,300.0,0.0,0.0,0.0,0,0,0,0,0,0,300.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,Stock,54.173,1938.0,1938.0,2640.0,2640.0,2640.0,2640.0,2628,2616,2616,2616,2616,2616,2616.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,Forecast DK,54.173,600.0,0.0,200.0,500.0,0.0,200.0,0,0,0,0,0,0,1500.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,Forecast SE,54.173,0.0,0.0,451.0,573.0,260.0,244.0,0,0,0,0,0,0,1528.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,Forecast NO,54.173,0.0,0.0,100.0,0.0,200.0,200.0,0,0,0,0,0,0,500.0
CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,Cocomelon,Forecast OT,54.173,0.0,250.0,250.0,0.0,0.0,0.0,0,0,0,0,0,0,500.0
FOB-CMW0008,COCOMELON 6 FIGURE PACK FAMILY AND FRIENDS,COCOMELON FOB,Købsordre,58.8,1620.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1620.0
CMW0029SG,COCOMELON BATH SQUIRTERS 2 SHARKS & JJ SOLID,Cocomelon,SalgsOrdre DK,28.0,63.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,63.0
CMW0023,COCOMELON BATH SQUIRTERS ASST.,Cocomelon,Købsordre,25.35756,0.0,0.0,504.0,0.0,0.0,2007.0,0,0,0,0,0,0,2511.0
CMW0023,COCOMELON BATH SQUIRTERS ASST.,Cocomelon,Invoiced DK,25.35756,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,9.0
CMW0023,COCOMELON BATH SQUIRTERS ASST.,Cocomelon,Invoiced SE,25.35756,1458.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1458.0
CMW0023,COCOMELON BATH SQUIRTERS ASST.,Cocomelon,SalgsOrdre DK,25.35756,0.0,252.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,252.0
CMW0023,COCOMELON BATH SQUIRTERS ASST.,Cocomelon,SalgsOrdre SE,25.35756,0.0,0.0,18.0,0.0,0.0,0.0,0,0,0,0,0,0,18.0
CMW0023,COCOMELON BATH SQUIRTERS ASST.,Cocomelon,Stock,25.35756,1133.0,881.0,1367.0,1367.0,1367.0,3374.0,3374,3374,3374,3374,3374,3374,3374.0
CMW0023,COCOMELON BATH SQUIRTERS ASST.,Cocomelon,Forecast DK,25.35756,200.0,0.0,0.0,320.0,0.0,200.0,0,0,0,0,0,0,720.0
CMW0023,COCOMELON BATH SQUIRTERS ASST.,Cocomelon,Forecast SE,25.35756,1458.0,0.0,587.0,77.0,67.0,63.0,0,0,0,0,0,0,2252.0
CMW0023,COCOMELON BATH SQUIRTERS ASST.,Cocomelon,Forecast NO,25.35756,0.0,0.0,500.0,200.0,300.0,200.0,0,0,0,0,0,0,1200.0
FOB-CMW0023,COCOMELON BATH SQUIRTERS ASST.,COCOMELON FOB,Købsordre,28.0,603.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,603.0
CMW0030SG,"COCOMELON BATH SQUIRTERS FISH, TURTLE & JJ SOLID",Cocomelon,SalgsOrdre DK,28.0,54.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,54.0
CMW0034,COCOMELON FEATURE ROLEPLAY MUSICAL CHECK UP CASE,Cocomelon,Købsordre,78.12,0.0,0.0,0.0,0.0,1000.0,0.0,0,0,0,0,0,0,1000.0
CMW0034,COCOMELON FEATURE ROLEPLAY MUSICAL CHECK UP CASE,Cocomelon,Stock,78.12,0.0,0.0,0.0,0.0,1000.0,1000.0,1000,1000,1000,1000,1000,1000,1000.0
CMW0034,COCOMELON FEATURE ROLEPLAY MUSICAL CHECK UP CASE,Cocomelon,Forecast DK,78.12,0.0,0.0,0.0,0.0,1000.0,0.0,0,0,0,0,0,0,1000.0
CMW0015,COCOMELON FEATURE VEHICLE SCHOOL BUS,Cocomelon,Købsordre,49.6,0.0,3000.0,1000.0,0.0,0.0,0.0,0,0,0,0,0,0,4000.0
CMW0015,COCOMELON FEATURE VEHICLE SCHOOL BUS,Cocomelon,SalgsOrdre DK,49.6,0.0,0.0,120.0,0.0,0.0,0.0,12,12,0,0,0,0,144.0
CMW0015,COCOMELON FEATURE VEHICLE SCHOOL BUS,Cocomelon,SalgsOrdre SE,49.6,0.0,0.0,316.0,68.0,0.0,0.0,0,0,4,0,0,0,388.0
CMW0015,COCOMELON FEATURE VEHICLE SCHOOL BUS,Cocomelon,Stock,49.6,0.0,3000.0,3564.0,3496.0,3496.0,3496.0,3484,3472,3468,3468,3468,3468,3468.0
CMW0015,COCOMELON FEATURE VEHICLE SCHOOL BUS,Cocomelon,Forecast DK,49.6,0.0,1000.0,0.0,200.0,400.0,400.0,0,0,0,0,0,0,2000.0
CMW0015,COCOMELON FEATURE VEHICLE SCHOOL BUS,Cocomelon,Forecast SE,49.6,0.0,0.0,824.0,205.0,179.0,168.0,0,0,0,0,0,0,1376.0
CMW0015,COCOMELON FEATURE VEHICLE SCHOOL BUS,Cocomelon,Forecast NO,49.6,0.0,0.0,100.0,0.0,200.0,200.0,0,0,0,0,0,0,500.0
CMW0015,COCOMELON FEATURE VEHICLE SCHOOL BUS,Cocomelon,Forecast OT,49.6,0.0,250.0,250.0,0.0,0.0,0.0,0,0,0,0,0,0,500.0
FOB-CMW0015,COCOMELON FEATURE VEHICLE SCHOOL BUS,COCOMELON FOB,Købsordre,49.6,720.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,720.0
CMW0038,COCOMELON FEATURE VEHICLE TRACTOR,Cocomelon,Købsordre,51.6,0.0,0.0,4000.0,0.0,0.0,0.0,0,0,0,0,0,0,4000.0
CMW0038,COCOMELON FEATURE VEHICLE TRACTOR,Cocomelon,SalgsOrdre DK,51.6,0.0,0.0,0.0,0.0,0.0,0.0,24,24,0,0,0,0,48.0
CMW0038,COCOMELON FEATURE VEHICLE TRACTOR,Cocomelon,SalgsOrdre SE,51.6,0.0,0.0,32.0,8.0,0.0,0.0,0,0,0,0,0,0,40.0
CMW0038,COCOMELON FEATURE VEHICLE TRACTOR,Cocomelon,Stock,51.6,0.0,0.0,3968.0,3960.0,3960.0,3960.0,3936,3912,3912,3912,3912,3912,3912.0
CMW0038,COCOMELON FEATURE VEHICLE TRACTOR,Cocomelon,Forecast DK,51.6,0.0,0.0,500.0,0.0,500.0,500.0,0,0,0,0,0,0,1500.0
CMW0038,COCOMELON FEATURE VEHICLE TRACTOR,Cocomelon,Forecast SE,51.6,0.0,0.0,524.0,200.0,200.0,200.0,0,0,0,0,0,0,1124.0
CMW0038,COCOMELON FEATURE VEHICLE TRACTOR,Cocomelon,Forecast NO,51.6,0.0,0.0,100.0,0.0,100.0,0.0,0,0,0,0,0,0,200.0
CMW0038,COCOMELON FEATURE VEHICLE TRACTOR,Cocomelon,Forecast OT,51.6,0.0,0.0,250.0,250.0,0.0,0.0,0,0,0,0,0,0,500.0
CMW0017,COCOMELON LITTLE PLUSH ASS CDU,Cocomelon,Købsordre,32.72,0.0,0.0,5004.0,0.0,0.0,0.0,0,0,0,0,0,0,5004.0
CMW0017,COCOMELON LITTLE PLUSH ASS CDU,Cocomelon,Invoiced DK,32.72,504.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,504.0
CMW0017,COCOMELON LITTLE PLUSH ASS CDU,Cocomelon,SalgsOrdre SE,32.72,0.0,0.0,108.0,72.0,0.0,0.0,0,0,6,0,0,0,186.0
CMW0017,COCOMELON LITTLE PLUSH ASS CDU,Cocomelon,SalgsOrdre OT,32.72,0.0,300.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,300.0
CMW0017,COCOMELON LITTLE PLUSH ASS CDU,Cocomelon,Stock,32.72,12.0,-288.0,4608.0,4536.0,4536.0,4536.0,4536,4536,4530,4530,4530,4530,4530.0
CMW0017,COCOMELON LITTLE PLUSH ASS CDU,Cocomelon,Forecast DK,32.72,1000.0,0.0,0.0,1000.0,0.0,664.0,0,0,0,0,0,0,2664.0
CMW0017,COCOMELON LITTLE PLUSH ASS CDU,Cocomelon,Forecast SE,32.72,0.0,0.0,260.0,260.0,227.0,213.0,0,0,0,0,0,0,960.0
CMW0017,COCOMELON LITTLE PLUSH ASS CDU,Cocomelon,Forecast NO,32.72,0.0,0.0,300.0,100.0,200.0,200.0,0,0,0,0,0,0,800.0
FOB-CMW0017,COCOMELON LITTLE PLUSH ASS CDU,COCOMELON FOB,Købsordre,34.4,1440.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1440.0
CMW0020SG,COCOMELON LITTLE PLUSH COCOMELON LOGO SOLID,Cocomelon,SalgsOrdre DK,32.71983,60.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,60.0
CMW0019SG,COCOMELON LITTLE PLUSH JJ SHARK SHIRT SOLID,Cocomelon,SalgsOrdre DK,32.71983,60.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,60.0
CMW0018SG,COCOMELON LITTLE PLUSH JJ SOLID,Cocomelon,SalgsOrdre DK,32.71983,60.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,60.0
CMW0010,COCOMELON MINI VEHICLE COLOR VEHICLE ASST.,Cocomelon,Købsordre,16.65111,0.0,2004.0,4512.0,0.0,0.0,0.0,0,0,0,0,0,0,6516.0
CMW0010,COCOMELON MINI VEHICLE COLOR VEHICLE ASST.,Cocomelon,SalgsOrdre SE,16.65111,0.0,0.0,72.0,0.0,0.0,0.0,0,0,0,0,0,0,72.0
CMW0010,COCOMELON MINI VEHICLE COLOR VEHICLE ASST.,Cocomelon,SalgsOrdre FI,16.65111,0.0,0.0,1560.0,0.0,0.0,0.0,0,0,0,0,0,0,1560.0
CMW0010,COCOMELON MINI VEHICLE COLOR VEHICLE ASST.,Cocomelon,Stock,16.65111,0.0,2004.0,4884.0,4884.0,4884.0,4884.0,4884,4884,4884,4884,4884,4884,4884.0
CMW0010,COCOMELON MINI VEHICLE COLOR VEHICLE ASST.,Cocomelon,Forecast DK,16.65111,0.0,0.0,0.0,1500.0,0.0,1328.0,0,0,0,0,0,0,2828.0
CMW0010,COCOMELON MINI VEHICLE COLOR VEHICLE ASST.,Cocomelon,Forecast SE,16.65111,0.0,0.0,390.0,390.0,340.0,320.0,0,0,0,0,0,0,1440.0
CMW0010,COCOMELON MINI VEHICLE COLOR VEHICLE ASST.,Cocomelon,Forecast NO,16.65111,0.0,0.0,200.0,200.0,200.0,100.0,0,0,0,0,0,0,700.0
CMW0010,COCOMELON MINI VEHICLE COLOR VEHICLE ASST.,Cocomelon,Forecast FI,16.65111,0.0,0.0,1560.0,0.0,0.0,0.0,0,0,0,0,0,0,1560.0
FOB-CMW0010,COCOMELON MINI VEHICLE COLOR VEHICLE ASST.,COCOMELON FOB,Købsordre,17.6,1356.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1356.0
20-00283,Cocomelon Pallet,Cocomelon,Stock,0.0,-81.0,-81.0,-81.0,-81.0,-81.0,-81.0,-81,-81,-81,-81,-81,-81,-81.0
CMW0016,COCOMELON ROTO PLUSH BEDTIME JJ DOLL,Cocomelon,Købsordre,74.56231,0.0,0.0,1000.0,0.0,0.0,3000.0,0,0,0,0,0,0,4000.0
CMW0016,COCOMELON ROTO PLUSH BEDTIME JJ DOLL,Cocomelon,Invoiced DK,74.56231,300.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,300.0
CMW0016,COCOMELON ROTO PLUSH BEDTIME JJ DOLL,Cocomelon,Invoiced SE,74.56231,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,12.0
CMW0016,COCOMELON ROTO PLUSH BEDTIME JJ DOLL,Cocomelon,Invoiced OT,74.56231,120.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,120.0
CMW0016,COCOMELON ROTO PLUSH BEDTIME JJ DOLL,Cocomelon,SalgsOrdre DK,74.56231,900.0,0.0,0.0,0.0,0.0,0.0,52,52,0,0,0,0,1004.0
CMW0016,COCOMELON ROTO PLUSH BEDTIME JJ DOLL,Cocomelon,SalgsOrdre SE,74.56231,80.0,268.0,264.0,16.0,0.0,0.0,0,0,0,0,0,0,628.0
CMW0016,COCOMELON ROTO PLUSH BEDTIME JJ DOLL,Cocomelon,Stock,74.56231,2036.0,1768.0,2504.0,2488.0,2488.0,5488.0,5436,5384,5384,5384,5384,5384,5384.0
CMW0016,COCOMELON ROTO PLUSH BEDTIME JJ DOLL,Cocomelon,Forecast DK,74.56231,1200.0,0.0,0.0,900.0,0.0,1200.0,0,0,0,0,0,0,3300.0
CMW0016,COCOMELON ROTO PLUSH BEDTIME JJ DOLL,Cocomelon,Forecast SE,74.56231,93.0,280.0,272.0,188.0,292.0,281.0,0,0,0,0,0,0,1406.0
CMW0016,COCOMELON ROTO PLUSH BEDTIME JJ DOLL,Cocomelon,Forecast NO,74.56231,0.0,0.0,200.0,300.0,300.0,300.0,0,0,0,0,0,0,1100.0
CMW0016,COCOMELON ROTO PLUSH BEDTIME JJ DOLL,Cocomelon,Forecast OT,74.56231,120.0,250.0,250.0,200.0,0.0,0.0,0,0,0,0,0,0,820.0
FOB-CMW0016,COCOMELON ROTO PLUSH BEDTIME JJ DOLL,COCOMELON FOB,Købsordre,74.0,960.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,960.0
40-00579,Cra-z-slimy Creations Light Up,Cra-Z-Slimy,SalgsOrdre SE,26.38904,712.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,712.0
40-00579,Cra-z-slimy Creations Light Up,Cra-Z-Slimy,Forecast SE,26.38904,712.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,712.0
40-00580,Cra-z-Slimy Making Kit Rainbow,Cra-Z-Slimy,SalgsOrdre SE,26.38904,680.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,680.0
40-00580,Cra-z-Slimy Making Kit Rainbow,Cra-Z-Slimy,Forecast SE,26.38904,680.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,680.0
40-00582,Cra-z-Slimy premade Slime 680g asst.,Cra-Z-Slimy,SalgsOrdre SE,18.16115,792.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,792.0
40-00582,Cra-z-Slimy premade Slime 680g asst.,Cra-Z-Slimy,Forecast SE,18.16115,792.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,792.0
40-00586,"Cra-z-Slimy Premade Tricolor 1,36kg",Cra-Z-Slimy,SalgsOrdre SE,36.67394,696.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,696.0
40-00586,"Cra-z-Slimy Premade Tricolor 1,36kg",Cra-Z-Slimy,Forecast SE,36.67394,696.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,696.0
20-00119,D-Dart Tempest,D-Dart,Invoiced SE,96.57658,48.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,48.0
20-00119,D-Dart Tempest,D-Dart,SalgsOrdre DK,96.57658,8.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,8.0
20-00119,D-Dart Tempest,D-Dart,Stock,96.57658,468.0,468.0,468.0,468.0,468.0,468.0,468,468,468,468,468,468,468.0
00113,"DUMMY Funko! POP 10""",Funko!,Forecast DK,114.56,140.0,500.0,200.0,500.0,400.0,260.0,0,0,0,0,0,0,2000.0
00128,"DUMMY Funko! POP 18""",Funko!,Forecast DK,424.0,35.0,125.0,50.0,125.0,100.0,65.0,0,0,0,0,0,0,500.0
00111,DUMMY Funko! POP VINYL,Funko!,Forecast DK,35.12,700.0,2500.0,100.0,2500.0,200.0,1300.0,0,0,0,0,0,0,7300.0
00111,DUMMY Funko! POP VINYL,Funko!,Forecast SE,35.12,6260.0,11268.0,12207.0,12207.0,10642.0,10016.0,0,0,0,0,0,0,62600.0
125666001,Fizz n Surprise Dino,Slimy Originals,Stock,9.7475,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4.0
50-00603,Foam Alive Blister Card 50g Assorted,Foam Alive,Invoiced SE,8.54964,432.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,432.0
50-00603,Foam Alive Blister Card 50g Assorted,Foam Alive,Stock,8.54964,4104.0,4104.0,4104.0,4104.0,4104.0,4104.0,4104,4104,4104,4104,4104,4104,4104.0
50-00604,Foam Alive Ice Cream Shop 210g,Foam Alive,Stock,36.6775,157.0,157.0,157.0,157.0,157.0,157.0,157,157,157,157,157,157,157.0
50-00528,Foam Alive Tub 200g Assorted,Foam Alive,Stock,26.1996,168.0,168.0,168.0,168.0,168.0,168.0,168,168,168,168,168,168,168.0
50-00526,Foam Alive Tub 30g CDU Assorted,Foam Alive,Stock,6.19211,13.0,13.0,13.0,13.0,13.0,13.0,13,13,13,13,13,13,13.0
20-00256,Fortnite Duo pack,Fortnite,SalgsOrdre DK,27.69733,234.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,234.0
20-00256,Fortnite Duo pack,Fortnite,SalgsOrdre SE,27.69733,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6.0
40-00655,Fortnite Glider - Cloud Strike,Fortnite,Invoiced OT,37.74507,51.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,51.0
40-00655,Fortnite Glider - Cloud Strike,Fortnite,SalgsOrdre DK,37.74507,102.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,102.0
40-00655,Fortnite Glider - Cloud Strike,Fortnite,Stock,37.74507,321.0,321.0,321.0,321.0,321.0,321.0,321,321,321,321,321,321,321.0
70-00227,Fortnite Squad Pack,Fortnite,Stock,58.65,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4.0
20-00251,FUNKO Display 360 Flatpacked Half Pallet,Funko!,Stock,2828.66667,8.0,8.0,8.0,8.0,8.0,8.0,8,8,8,8,8,8,8.0
45892,Funko Funkoverse - Harry Potter Base,Funko!,Købsordre,141.2,0.0,76.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,76.0
45892,Funko Funkoverse - Harry Potter Base,Funko!,Stock,141.2,0.0,76.0,76.0,76.0,76.0,76.0,76,76,76,76,76,76,76.0
1234,FUNKO PLASTIKPOSER - COMIC CON,Funko!,Stock,0.0,22.0,22.0,22.0,22.0,22.0,22.0,22,22,22,22,22,22,22.0
34679,Funko! 5 STAR Fortnite S1A Zoey,Funko!,SalgsOrdre DK,33.12682,0.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6.0
34679,Funko! 5 STAR Fortnite S1A Zoey,Funko!,Stock,33.12682,888.0,882.0,882.0,882.0,882.0,882.0,882,882,882,882,882,882,882.0
50-00488,Funko! FSDU POP VINYL 72pcs,Funko!,Stock,247.9565,80.0,80.0,80.0,80.0,80.0,80.0,80,80,80,80,80,80,80.0
40908,Funko! MM - Frozen 2 - 12pcs PDQ Ass.,Funko!,SalgsOrdre DK,17.89984,0.0,0.0,0.0,3564.0,0.0,0.0,0,0,0,0,0,0,3564.0
40908,Funko! MM - Frozen 2 - 12pcs PDQ Ass.,Funko!,Stock,17.89984,3564.0,3564.0,3564.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
34757,Funko! MM Animated Spider Man 12pcs CDU,Funko!,SalgsOrdre DK,19.58542,0.0,12.0,0.0,756.0,0.0,0.0,0,0,0,0,0,0,768.0
34757,Funko! MM Animated Spider Man 12pcs CDU,Funko!,Stock,19.58542,1200.0,1188.0,1188.0,432.0,432.0,432.0,432,432,432,432,432,432,432.0
37200,Funko! MM Avengers Endgame - 12PC PDQ,Funko!,SalgsOrdre DK,17.74251,0.0,0.0,0.0,1032.0,0.0,0.0,0,0,0,0,0,0,1032.0
37200,Funko! MM Avengers Endgame - 12PC PDQ,Funko!,Stock,17.74251,1032.0,1032.0,1032.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
32781,Funko! MM Fantastic Beasts 2 12pcs CDU,Funko!,SalgsOrdre DK,19.59665,0.0,12.0,0.0,1512.0,0.0,0.0,0,0,0,0,0,0,1524.0
32781,Funko! MM Fantastic Beasts 2 12pcs CDU,Funko!,Stock,19.59665,1620.0,1608.0,1608.0,96.0,96.0,96.0,96,96,96,96,96,96,96.0
13035,Funko! MM Rick & Morty S1 12pcs CDU,Funko!,SalgsOrdre DK,19.7284,0.0,0.0,0.0,756.0,0.0,0.0,0,0,0,0,0,0,756.0
13035,Funko! MM Rick & Morty S1 12pcs CDU,Funko!,Stock,19.7284,756.0,756.0,756.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
